title,fitness_category,tool,body_part,target,disease,youtube_id,youtube_url,thumb_url,page_no,rank_on_page
원판던지기,근력/근지구력,프리웨이트,//,성인,,bcL29G6p0hs,https://www.youtube.com/watch?v=bcL29G6p0hs,https://img.youtube.com/vi/bcL29G6p0hs/0.jpg,56,7
허리 굽혀 덤벨 들기,근력/근지구력,프리웨이트,어깨뒤쪽,성인,,eO-ItPOiCeI,https://www.youtube.com/watch?v=eO-ItPOiCeI,https://img.youtube.com/vi/eO-ItPOiCeI/0.jpg,56,8
파워클린,근력/근지구력,프리웨이트,//,성인,,InaFNrtFCNc,https://www.youtube.com/watch?v=InaFNrtFCNc,https://img.youtube.com/vi/InaFNrtFCNc/0.jpg,56,9
앉아서 모으기,근력/근지구력,웨이트기계,몸통,성인,,1FokjPxj4jI,https://www.youtube.com/watch?v=1FokjPxj4jI,https://img.youtube.com/vi/1FokjPxj4jI/0.jpg,56,10
서서 어깨 들어올리기,근력/근지구력,프리웨이트,/,성인,,4FyWk6oPGDc,https://www.youtube.com/watch?v=4FyWk6oPGDc,https://img.youtube.com/vi/4FyWk6oPGDc/0.jpg,56,11
거꾸로 누워서 밀기,근력/근지구력,웨이트기계,몸통,성인,,O0Z4Nj6Kr5A,https://www.youtube.com/watch?v=O0Z4Nj6Kr5A,https://img.youtube.com/vi/O0Z4Nj6Kr5A/0.jpg,56,12
앉아서 당겨 내리기,근력/근지구력,웨이트기계,등,성인,,i6xX-W_HD9M,https://www.youtube.com/watch?v=i6xX-W_HD9M,https://img.youtube.com/vi/i6xX-W_HD9M/0.jpg,57,1
앉아서 다리 펴기,근력/근지구력,웨이트기계,허벅지앞쪽,성인,,wXuoCjq_WAE,https://www.youtube.com/watch?v=wXuoCjq_WAE,https://img.youtube.com/vi/wXuoCjq_WAE/0.jpg,57,2
뒤꿈치 들기,근력/근지구력,웨이트기계,종아리뒤쪽,성인,,pA6w1qnxR14,https://www.youtube.com/watch?v=pA6w1qnxR14,https://img.youtube.com/vi/pA6w1qnxR14/0.jpg,57,3
앉아서 밀기,근력/근지구력,웨이트기계,몸통,성인,,FBLREvkXKDY,https://www.youtube.com/watch?v=FBLREvkXKDY,https://img.youtube.com/vi/FBLREvkXKDY/0.jpg,57,4
앉아서 뒤로 당기기,근력/근지구력,웨이트기계,등,성인,,gVhkCsNAshc,https://www.youtube.com/watch?v=gVhkCsNAshc,https://img.youtube.com/vi/gVhkCsNAshc/0.jpg,57,5
